time,thrust
0.0,2.7643486281615472
0.009999999999999787,1.5977795179764873
0.020000000000000462,0.5910256980326039
0.03000000000000025,0.0
0.040000000000000036,0.17958298454084165
0.04999999999999982,1.6956788428270608
0.0600000000000005,5.296186407648571
0.07000000000000028,11.594872683018343
0.08000000000000007,20.58497744619719
0.08999999999999986,31.411212744131014
0.10000000000000053,42.73455034961517
0.11000000000000032,53.46708306962956
0.1200000000000001,63.257291493612065
0.1299999999999999,72.38180994702758
0.14000000000000057,81.29509658576487
0.15000000000000036,90.29529006754372
0.16000000000000014,99.4816393046552
0.16999999999999993,108.87218003071395
0.17999999999999972,118.51202486053597
0.1900000000000004,128.51365562406082
0.20000000000000018,139.04813926536184
0.20999999999999996,150.32179190131575
0.21999999999999975,162.56144266054233
0.23000000000000043,176.00458449177256
0.2400000000000002,190.8666069305887
0.25,207.271574662446
0.2599999999999998,225.18369328500884
0.27000000000000046,244.40341235681845
0.28000000000000025,264.6501090923381
0.29000000000000004,285.68358693543377
0.2999999999999998,307.3884187134355
0.3100000000000005,329.7648938277391
0.3200000000000003,352.81451238977576
0.33000000000000007,376.3763056868478
0.33999999999999986,400.0326237660047
0.35000000000000053,423.17802673306915
0.3600000000000003,445.21534200113626
0.3700000000000001,465.73323373240447
0.3799999999999999,484.5569627997394
0.39000000000000057,501.693153323827
0.40000000000000036,517.2514379605908
0.41000000000000014,531.3887636788745
0.41999999999999993,544.2789946775755
0.4299999999999997,556.1009824453403
0.4400000000000004,567.0353127575687
0.4500000000000002,577.2620554085208
0.45999999999999996,586.9608429357334
0.46999999999999975,596.3051320844934
0.4800000000000004,605.4251500375387
0.4900000000000002,614.3370604411413
0.5,622.8898358806522
0.5099999999999998,630.7920555946636
0.5200000000000005,637.7205992471041
0.5300000000000002,643.4459809896159
0.54,647.9046222859098
0.5499999999999998,651.198357356844
0.5600000000000005,653.5452936251484
0.5700000000000003,655.2129831694438
0.5800000000000001,656.4554692254684
0.5899999999999999,657.471565677381
0.6000000000000005,658.3946152085133
0.6100000000000003,659.3064096827449
0.6200000000000001,660.2542878832077
0.6299999999999999,661.2542290615164
0.6400000000000006,662.2805879994802
0.6500000000000004,663.260052833939
0.6600000000000001,664.0860724483574
0.6699999999999999,664.6514175124214
0.6799999999999997,664.8844508690253
0.6900000000000004,664.7790350430166
0.7000000000000002,664.4104350229815
0.71,663.9228370714516
0.7199999999999998,663.4807606388792
0.7300000000000004,663.2044598898699
0.7400000000000002,663.1262405899973
0.75,663.1884380236224
0.7599999999999998,663.2771628569662
0.7700000000000005,663.2734599411796
0.7800000000000002,663.0993002391656
0.79,662.7352088554923
0.7999999999999998,662.203310043148
0.8100000000000005,661.5375097779803
0.8200000000000003,660.7669630627795
0.8300000000000001,659.915160129047
0.8399999999999999,659.0023826567244
0.8500000000000005,658.0493112203537
0.8600000000000003,657.0864229537984
0.8700000000000001,656.1637229596699
0.8799999999999999,655.3496861447395
0.8900000000000006,654.7168132155457
0.9000000000000004,654.3185671324383
0.9100000000000001,654.1638241854824
0.9199999999999999,654.1991022585034
0.9299999999999997,654.3123834621028
0.9400000000000004,654.365557953241
0.9500000000000002,654.2490770370865
0.96,653.9395867621159
0.9699999999999998,653.5280158626061
0.9800000000000004,653.1822047375966
0.9900000000000002,653.0401673070725
1.0,653.0922154806643
1.0099999999999998,653.1457670716078
1.0200000000000005,652.923384011463
1.0300000000000002,652.239856546531
1.04,651.1250302978729
1.0499999999999998,649.7915064460369
1.0600000000000005,648.4790921297375
1.0700000000000003,647.3140676635128
1.08,646.2885732466235
1.0899999999999999,645.3384539765951
1.1000000000000005,644.4244755625991
1.1100000000000003,643.5622024520019
1.12,642.8148348655502
1.13,642.2713701603594
1.1400000000000006,642.006405623616
1.1500000000000004,642.0299495101423
1.1600000000000001,642.2689226904617
1.17,642.6043832149264
1.1799999999999997,642.9311550790599
1.1900000000000004,643.1908325028853
1.2000000000000002,643.3686500695621
1.21,643.4772340295625
1.2199999999999998,643.5452561894512
1.2300000000000004,643.6087699652697
1.2400000000000002,643.6919872993319
1.25,643.7749042744141
1.2599999999999998,643.773427749151
1.2700000000000005,643.5689433106924
1.2800000000000002,643.085979853562
1.29,642.3572469105305
1.2999999999999998,641.5104257905949
1.3100000000000005,640.6832953931802
1.3200000000000003,639.9451078135398
1.33,639.2883934161725
1.3399999999999999,638.678582392464
1.3500000000000005,638.1044433961563
1.3600000000000003,637.5963250670707
1.37,637.2138505453321
1.38,637.0082736042839
1.3900000000000006,636.9710134535234
1.4000000000000004,637.0073445343794
1.4100000000000001,636.9714677589526
1.42,636.7442346341028
1.4299999999999997,636.2933121350544
1.4400000000000004,635.6788600158865
1.4500000000000002,635.016521355239
1.46,634.4276700731475
1.4699999999999998,633.9972505067982
1.4800000000000004,633.7488531510767
1.4900000000000002,633.6372921260376
1.5,633.5511488256169
1.5099999999999998,633.3272026945592
1.5200000000000005,632.7966113997237
1.5300000000000002,631.8691006476051
1.54,630.6125354247666
1.5499999999999998,629.2599889426474
1.5600000000000005,628.1195848447121
1.5700000000000003,627.4393952082513
1.58,627.3139535450783
1.5899999999999999,627.6770786945202
1.6000000000000005,628.3553870776773
1.6100000000000003,629.1311142616528
1.62,629.7891977095414
1.63,630.148753029685
1.6400000000000006,630.0817223730983
1.6500000000000004,629.528114850504
1.6600000000000001,628.5260037678256
1.67,627.2474016108235
1.6800000000000006,625.9820509918422
1.6900000000000004,625.0221212071627
1.7000000000000002,624.4990995034534
1.71,624.3033204781727
1.7199999999999998,624.1628697675001
