time[s],pressure[MPa],burnrate[mm/s],burnrate_ideal[mm/s]
0.0,0.0354231487954071,0.08224841572789117,0.3705394951625933
0.009999999999990905,0.0418330022115126,0.09745655656232644,0.5073369445813154
0.020000000000010232,0.049709281861799896,0.1157871022756267,0.6198497689899787
0.030000000000001137,0.059052667912639314,0.13724119088882977,0.7182569063611144
0.03999999999999204,0.06986384053046626,0.16181987846278909,0.8071002266195644
0.05000000000001137,0.0821434798817327,0.18952412629028748,0.8888871377246442
0.060000000000002274,0.09589226613278409,0.22035478812934653,0.9651795237411934
0.06999999999999318,0.11111087945006809,0.2543125974940717,1.0370301833499953
0.0800000000000125,0.1278000000000495,0.29916707043007223,1.105189595321928
0.09000000000000341,0.15325912775477143,0.3688663157065972,1.170215595600068
0.09999999999999432,0.19329575948421743,0.4672036610115913,1.232536540522942
0.10999999999998522,0.24567257055163336,0.5894069371878834,1.292490040467894
0.12000000000000455,0.3081522363204552,0.7307020778191444,1.3503479221468402
0.12999999999999545,0.37849743215356857,0.8863136577755261,1.4063329779768425
0.13999999999998636,0.45447083341438355,1.051465853242654,1.4606305869029137
0.15000000000000568,0.5338351154663745,1.2213837135076249,1.513397007605547
0.1599999999999966,0.6143529536723312,1.391294633397741,1.5647654414033159
0.1699999999999875,0.6937870233957212,1.5564299147969136,1.614850558096533
0.18000000000000682,0.7699,1.7158380874735357,1.6637519365944102
0.18999999999999773,0.8440403703995236,1.8743653682632277,1.7115567229312452
0.19999999999998863,0.9194240020446525,2.036019098474617,1.7583417132247068
0.21000000000000796,0.9966146411018727,2.2019842221253323,1.804175006976087
0.21999999999999886,1.0761760337370099,2.3734433871828107,1.8491173345117924
0.22999999999998977,1.1586719261165435,2.5515765823048353,1.8932231339338885
0.2400000000000091,1.2446660644069878,2.7375607582498342,1.9365414331479083
0.25,1.3347221947741177,2.932569430501155,1.9791165785115057
0.2599999999999909,1.4294040633844358,3.137772260251934,2.020988841558739
0.27000000000001023,1.5292754164044973,3.354334611585154,2.062194927894167
0.28000000000000114,1.6348999999999998,3.590821263650606,2.10276840691079
0.28999999999999204,1.7538305989400902,3.859721756552011,2.142740076916947
0.30000000000001137,1.890359102285341,4.160914993373026,2.1821382771802953
0.3100000000000023,2.0401579126381697,4.485153070010053,2.2209891560462585
0.3199999999999932,2.198899432602143,4.823204828340399,2.2593169024753736
0.3300000000000125,2.3622560647809303,5.165860718129243,2.2971439469333776
0.3400000000000034,2.5259002117767952,5.503937957118352,2.3344911364612013
0.3499999999999943,2.6855042761934014,5.8282855655722665,2.3713778878771983
0.3599999999999852,2.8367406606339496,6.129788877618597,2.40782232236721
0.37000000000000455,2.975281767702014,6.399373166875805,2.4438413841595152
0.37999999999999545,3.0968,6.638714181067726,2.479450945530986
0.38999999999998636,3.2071397651694453,6.862797502086846,2.514665900024889
0.4000000000000057,3.3146252340200175,7.079773830744943,2.549500245462028
0.4099999999999966,3.418648453906668,7.288383778428553,2.5839671580817156
0.4199999999999875,3.518601472185274,7.487375064382363,2.618079058946732
0.4300000000000068,3.6138763362116646,7.675502540029453,2.6518476735786845
0.4399999999999977,3.703865093340864,7.851528131588114,2.6852840856504443
0.44999999999998863,3.787959790928714,8.014220700151556,2.718398785445448
0.46000000000000796,3.865552476330992,8.162355819636671,2.7512017136954436
0.46999999999999886,3.936035196902822,8.294715474242784,2.7837023013254103
0.47999999999998977,3.9987999999999992,8.414724831462602,2.81590950556425
0.4900000000000091,4.057680546119524,8.530064424760619,2.847831842820232
0.5,4.1161617210813715,8.643207982405338,2.879477418669351
0.5099999999999909,4.17311241022649,8.751812024982156,2.910853955261237
0.5200000000000102,4.227401498895819,8.853543122912399,2.9419688164099598
0.5300000000000011,4.27789787242983,8.946077665513766,2.972829030604871
0.539999999999992,4.323470416169465,9.027101543597796,3.003441312148913
0.5500000000000114,4.362988015455615,9.094309736291482,3.0338120806077358
0.5600000000000023,4.395319555628837,9.145405795994135,3.063947478732116
0.5699999999999932,4.419333922030036,9.178101228528895,3.0938533889979674
0.5800000000000125,4.433900000000027,9.195464768430185,3.123535448892373
0.5900000000000034,4.443053365383055,9.206629490723993,3.1529990650601776
0.5999999999999943,4.451537466284314,9.2164480945969,3.1822494264134944
0.6099999999999852,4.459282996435883,9.224782283020096,3.2112915162957774
0.6200000000000045,4.466220649569856,9.231494071522214,3.2401301237826727
0.6299999999999955,4.4722811194182714,9.236445754637892,3.268769854193529
0.6399999999999864,4.4773950997132275,9.23949987210946,3.2972151388800714
0.6500000000000057,4.4814932841868105,9.240519174883802,3.3254702443522373
0.6599999999999966,4.484506366571076,9.239366590955994,3.353539280795322
0.6699999999999875,4.4863650405981135,9.235905191119707,3.381426210027467
0.6800000000000068,4.487,9.230163425265149,3.409134852941876
0.6899999999999977,4.486502663819095,9.222499951846032,3.4366688964740786
0.6999999999999886,4.4851254713567865,9.213355002913648,3.4640319001308284
0.710000000000008,4.483040646733667,9.20308490260052,3.4912273021139852
0.7199999999999989,4.480420414070353,9.192044741824878,3.518258425069727
0.7299999999999898,4.477436997487441,9.180588463902678,3.545128481490805
0.7400000000000091,4.474262621105526,9.16906894950159,3.5718405787971523
0.75,4.471069509045226,9.157838100611798,3.598397724118003
0.7599999999999909,4.468029885427137,9.147246923274725,3.62480282879673
0.7700000000000102,4.4653159743718565,9.13764560887588,3.651058712637841
0.7800000000000011,4.4631,9.129137220955117,3.6771681079139964
0.789999999999992,4.461313261957875,9.12141978836463,3.703133663149451
0.8000000000000114,4.459731843745248,9.114200451680153,3.728957946695011
